"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"MA",2020-04-22,1745,11023.7250768379,6612.78266300172,17096.4977106668,221,152.865343669121,122.589404264668,190.533840900117,0.661644567903225,0.432254026398852,0.92839779173538,141933.803291186,96987.192095162,203555.754633893
"MA",2020-04-23,3079,11377.8669179609,6610.51798640102,18007.4488823592,178,156.828657865219,125.945388271077,195.710058647859,0.714673514283003,0.472173561107133,0.994341869620782,135144.464777098,92449.9737831951,192998.984912781
"MA",2020-04-24,4946,9195.27997631423,5119.47229381777,14961.7610115183,196,160.096561818422,128.361266551532,200.435550775519,0.606038265855817,0.39369068642258,0.856340375463017,128254.269355358,87527.3601381206,182592.101521062
"MA",2020-04-25,2379,12646.0627134195,6902.26250118646,20614.2326841003,174,162.702324390207,130.524569488543,202.588261301785,0.876166121181738,0.582647999968296,1.22137086069111,121602.068048355,82635.4896348843,173940.426088137
"MA",2020-04-26,1590,9120.3931007857,6253.514835419,12867.2979813859,169,164.560661638509,131.928171135444,205.892973392054,0.678826301043516,0.460402704631241,0.924514983273439,115444.788103067,77308.7893926683,166083.533373132
"MA",2020-04-27,1524,7197.82454541279,4826.85285429288,10385.4271723418,104,165.835523699139,133.128393011319,207.535789570177,0.560081143095697,0.380182062789778,0.773631669778366,110409.186765125,73280.046940709,160511.032709191
"MA",2020-04-28,1840,8529.45545414214,5761.30510983666,12168.1630240491,150,166.268289502566,133.201945557602,208.979506087657,0.695550188267075,0.476957066357573,0.940735071207259,105239.507199214,69659.3505597876,153069.683623854
"MA",2020-04-29,1963,8076.74790575684,5387.63696102019,11701.5147787012,252,166.05815446486,132.947241537397,207.927186841576,0.69411232054173,0.480697403048635,0.935325123582968,99650.3398170455,66326.8669507432,144933.510278481
"MA",2020-04-30,1940,7092.88707763027,4589.20197095389,10542.5057539195,157,165.285084750565,132.389406996927,206.994267568947,0.642231778686882,0.441414413135533,0.871428388234849,94313.8752527733,63293.3085773065,136920.931271443
"MA",2020-05-01,2106,7153.6432477717,4559.53882999954,10778.1316315177,154,163.812585949092,130.998718200889,204.985367841498,0.682147640127974,0.46956472388213,0.919649022168734,89281.5811867234,60647.1368232044,128612.291470045
"MA",2020-05-02,1952,9325.6310233058,5862.34798954286,14198.9924340942,130,161.915543409582,129.167976977043,202.685109682598,0.937903586851073,0.643516152061137,1.24530374290286,84454.3964857775,57970.9292006653,120390.418626078
"MA",2020-05-03,1824,9486.40156549064,5806.73271652281,14683.7264515305,158,159.473037711715,127.004918786555,200.10057894861,0.99967465831771,0.682790368762427,1.33050734254714,80347.2312295353,55375.2060161484,113867.757670922
"MA",2020-05-04,1000,7177.66462865958,4174.86980754314,11380.5907285701,86,156.569960760313,124.448258048113,196.480314752625,0.778753341055256,0.542517117170561,1.04158824593734,77675.5193505049,53604.7558320895,109929.417473754
"MA",2020-05-05,1184,7286.42546099485,4065.65114954532,11790.2267861143,122,153.252725971418,121.670967692411,192.835419887638,0.805678958934512,0.559719406988508,1.07552901920275,75943.7450428895,51753.3086668898,107902.137191176
"MA",2020-05-06,1754,6434.78077721544,3423.87167001051,10751.4814099984,208,149.66795338768,118.856560893967,188.694381685343,0.725355558394528,0.504277542530477,0.974241426640151,74202.3553857352,50187.345890123,106515.647018677
"MA",2020-05-07,1696,6845.94816315952,3499.11851713081,11725.772238443,132,145.84308851545,115.774112629899,183.906050296196,0.790096597392364,0.54827155211279,1.05484022352199,72247.6244015356,48349.6452135319,105019.59780567
"MA",2020-05-08,1612,6415.39125475456,3146.75553079985,11240.9436122353,150,141.709192541839,112.315096090942,178.582524605162,0.761125780419306,0.52927045373458,1.01801315543493,70035.3249933704,45957.1417654164,103571.192674092
"MA",2020-05-09,1410,7829.97949434247,3736.75576746372,14107.3550836101,138,137.539219629878,108.918708358875,173.00487504796,0.957497838243756,0.660836514748619,1.26806582753631,67799.20310691,43455.4880763066,102379.996837115
"MA",2020-05-10,1050,8611.82047127628,3945.07897695432,15814.5015604612,139,133.231685516178,105.544959089721,167.189516264297,1.0822490924226,0.74547597227321,1.43407532095569,65808.5888990546,41047.5413070657,100774.323295045
"MA",2020-05-11,669,5246.54015053714,2243.86936190264,10125.9532809376,129,128.990675974152,101.852262336844,161.772671837382,0.667112614584347,0.461684520707091,0.896784958086554,64656.1736536862,39026.2002950195,101396.533530713
"MA",2020-05-12,870,6027.23610857421,2470.60353908144,11814.7042564937,33,124.672416829228,98.4980493165896,156.566128002801,0.772657770210471,0.540032421158226,1.02845514480839,63948.7962123954,36931.5566600486,102990.521146092
"MA",2020-05-13,1165,6078.0260430856,2372.91581744834,12240.3700981212,174,120.447396269974,95.1063474241572,151.565029681915,0.792615563016877,0.553609027247632,1.05194882781498,62676.3384049405,34581.4049464435,104025.67538384
"MA",2020-05-14,1685,6153.97851200705,2306.64040580779,12724.2902426896,167,116.257319293621,92.1308621959389,146.445889371813,0.820796826745945,0.57662737372513,1.0862056666684,61105.6177536479,32348.777278672,103551.357159518
"MA",2020-05-15,1239,5486.59546645309,1950.41022331693,11734.9792791856,110,112.298280740409,88.9720404234827,141.473532798729,0.748964137269349,0.524006886822444,0.992485256373108,59499.355935916,30426.0183662197,103165.093230188
"MA",2020-05-16,1512,6911.3471735776,2389.66856907645,14845.8697925681,113,108.449838909737,86.0059718419256,136.57922744732,0.968345435049794,0.6662601530199,1.27844195254084,57920.1532991595,28504.9883282528,103077.391679684
"MA",2020-05-17,1077,7038.77716268498,2323.32226916956,15579.0284425101,92,104.669711376571,82.7100802697942,132.304074156089,1.00821117885472,0.694605669418189,1.32965720725093,56487.0683688433,26606.4204349221,103158.329546103
"MA",2020-05-18,1042,5536.58497784924,1722.55165871791,12777.8460313755,65,101.0673346475,79.5765051111488,128.602165989312,0.800664375504307,0.561913608645402,1.05696377004638,55668.5566659007,25029.9560884463,104471.727975896
"MA",2020-05-19,873,5838.36418188181,1732.90186550539,13722.9457013313,76,97.7059584059862,76.5430206469219,124.448489845483,0.849041137119933,0.596204456607331,1.11840081929706,55207.4219996174,23578.898599899,106849.009938563
"MA",2020-05-20,1045,6021.58478897821,1691.84769754337,14467.5948946087,128,94.4460565684241,73.1226657932473,120.859574021614,0.883336586440243,0.618142334124929,1.16554852698755,54583.3917626476,22234.5643812798,108634.779721499
"MA",2020-05-21,1114,6245.08190610704,1677.85853590111,15448.9409414781,82,91.3989235073585,69.8286155315396,118.290921779602,0.925654255532454,0.648976227884031,1.22043194933213,53887.5818150903,20991.0986178988,110174.122642065
"MA",2020-05-22,805,6046.32166376365,1516.05774465768,15348.8646265557,80,88.4727970282229,66.6885343505231,116.81191611881,0.903792653806395,0.631713253906294,1.18650970823358,53285.3467059681,19832.6926794121,112448.030963417
"MA",2020-05-23,773,6551.39902000654,1575.64298367276,16856.7192007763,76,85.747827831577,63.6617368461357,114.330896956161,0.985838264205978,0.683658452214642,1.29138644933498,52841.2228350572,18654.4518345781,115272.485171549
"MA",2020-05-24,1013,7676.78464812449,1731.04993048663,20169.2214205786,68,83.1511311922216,60.6283957281637,113.581837206982,1.15982118404384,0.799654192824063,1.52736335559876,52562.0777504001,17712.4796346998,117173.845710047
"MA",2020-05-25,596,3848.96751093834,812.913063235494,10550.682679198,44,80.7334513507773,57.5264920352746,112.587291366466,0.575894314322042,0.400540648106855,0.773294051120809,52725.1491022652,17043.8788060576,120215.914588505
"MA",2020-05-26,422,6059.75276833827,1225.51635981732,16959.4435680619,57,78.486102381398,54.5248146439751,112.508878376166,0.901511923189801,0.631724779709587,1.17442932483244,52957.5513725147,16171.7581921785,124239.074043954
